"Field","Extraction"
"Title","Enhancing Security Operations Center: Wazuh Security Event Response with Retrieval-Augmented-Generation-Driven Copilot"
"Authors","Ismail; Rahmat Kurnia; Farid Widyatama; Ilham Mirwansyah Wibawa; Zilmas Arjuna Brata; Ukasyah; Ghitha Afina Nelistiani; Howon Kim"
"Year & Venue","2025; Sensors (MDPI journal), vol. 25, article 870, DOI 10.3390/s25030870"
"Core Problem Addressed","SOCs face shortage of skilled personnel, limited automation, process-integration inconsistencies, and SIEM-induced high false-positive rates with manual analysis burdens that cause alert fatigue; in particular, existing implementations of the open-source SIEM Wazuh ""lack direct integration with advanced AI capabilities"" that could improve detection accuracy and responsiveness (Sec. 1, pp. 1-2)"
"Proposed Solution / Agentic AI Role","SERC (Security Event Response Copilot): an LLM copilot embedded as a Copilot tab in the Wazuh SIEM dashboard, combining (1) security event data extraction via RAG and (2) LLM-based incident response guidance; a Pixtral-powered LLM extractor parses Wazuh JSON event logs (one-shot prompt), embeddings from BAAI/bge-large-en-v1.5 are stored in a Qdrant vector database (cosine similarity) across three collections — general incident response knowledge, NIST CSF 2.0, MITRE ATT&CK (with a service that periodically syncs MITRE updates); a prompt builder consolidates retrieved context and the LLM (GPT-4o or Pixtral 12B; temperature 0.1, top-k 50, top-p 0.9, max tokens 4096) generates tailored mitigation guidance, with a chat feature for analyst follow-up (human-in-the-loop) (Sec. 3.1-3.4, pp. 11-16; Sec. 4.1, pp. 16-17)"
"Methodology","Prototype implementation plus end-to-end attack-defense simulation: Atomic Red Team (Red Atomic Attack Emulator) executed six distinct attack types (categories listed: Account Compromise, Data Loss, Malware, Phishing, Ransomware) mapped to MITRE ATT&CK techniques (e.g., T1078, T1486, T1204.002) on a monitored endpoint with Wazuh agents; 12 attack scenarios evaluated; copilot recommendations compared against the SOCFortress Incident Response Plan ground truth using cosine similarity and BERTScore (precision, recall, F1), comparing two models (OpenAI GPT-4o vs. Pixtral 12B) (Sec. 4.2-4.3, pp. 17-19)"
"Impact on MTTD & MTTR Metrics","Not specified — no MTTD, MTTR, response-time, or latency measurements are reported; benefits to incident response speed are qualitative only (LLMs in SOC workflows can ""mitigate analyst fatigue"", reduce cognitive load, and accelerate decision-making) (Sec. 2.2, p. 4; Sec. 2.8, p. 10); evaluation instead measured response quality: cosine similarity — OpenAI peaked at 75.81% (scenario 8) and dropped to 46.61% (scenario 6), Pixtral up to 71.69% (scenario 9); BERTScore — Pixtral precision 84.5-87.0%, recall 85.6-87.5%, F1 85.4-87.2%; OpenAI recall 84.8-86.9%, F1 84.9-86.5% (Sec. 4.3, pp. 19-21)"
"General Impact on Agentic AI / Multi-Agent Systems","Single-LLM copilot, not a multi-agent system; shows RAG as a flexible, scalable alternative to fine-tuning for SOC LLMs (real-time threat intelligence without retraining overhead) (Sec. 2.8, p. 10); model comparison found complementary strengths — Pixtral consistently stable (precision, recall, F1) but plateauing in some scenarios, OpenAI more adaptable but variable with dips in recall/F1 (Sec. 5, p. 21); orchestration overhead, cost, and autonomy level Not specified"
"Limitations / Future Work","Both models ""demonstrate room for improvement"" where alignment with ground truth proved challenging: Pixtral's performance plateaued in certain scenarios and OpenAI showed inconsistency balancing precision and recall; future work: fine-tuning both models with domain-specific datasets, scenario-specific training for phishing and ransomware, adversarial training and active learning with expert feedback, and extending the framework to integrate with SOAR systems for end-to-end automation of the incident response lifecycle (Sec. 5, p. 21)"
"Relevance to My Thesis","This paper is a concrete, reproducible instance of an LLM copilot for incident response embedded in an open-source SIEM (Wazuh), directly matching the thesis theme of Agentic AI copilots in incident response. Its RAG architecture (Qdrant + bge-large-en-v1.5 + three knowledge collections spanning NIST CSF 2.0, MITRE ATT&CK, and IR playbooks) offers a transferable design pattern for grounding copilot guidance in operational frameworks. The Atomic Red Team simulation with SOCFortress playbooks as ground truth, evaluated by cosine similarity and BERTScore, illustrates a quality-oriented evaluation protocol the thesis can adapt. Critically, it does not measure MTTD/MTTR, exposing the exact gap the thesis targets: quantifying time-to-detect and time-to-recover impacts of copilot assistance rather than only response-text quality."
"Relevance Score","Medium — an LLM/RAG copilot for SOC incident response is directly adjacent to the thesis (single-agent LLM ops), but the study evaluates response quality (cosine similarity, BERTScore) and reports no MTTD/MTTR measurements."
"Paper ID","P83"
