"Campo","Extração"
"Título","Agentic AI: Autonomous Intelligence for Complex Goals—A Comprehensive Survey"
"Autores","Deepak Bhaskar Acharya; Karthigeyan Kuppan; B. Divya"
"Ano e Veículo","2025; IEEE Access, vol. 13, pp. 18912-18936; DOI 10.1109/ACCESS.2025.3532853"
"Problema Central Abordado","Nenhum problema específico de operações de TI/SRE é alvo. O survey aborda a falta de uma introdução abrangente e delimitadora à Agentic AI — sistemas autônomos que perseguem ""complex goals with minimal human intervention"" — cobrindo conceitos fundamentais, metodologias, aplicações e desafios éticos/de governança, já que a IA tradicional baseada em regras e a IA generativa falham em tarefas abertas, dinâmicas e com múltiplos objetivos (Abstract; Sec. I.A-I.C, pp. 18912-18913)"
"Solução Proposta / Papel da Agentic AI","Survey (nenhum sistema é proposto). Sintetiza fundamentos técnicos: reinforcement learning, arquiteturas orientadas a objetivos, controle adaptativo (Sec. II.D, p. 18915); abordagens arquiteturais: Sistemas Multiagente (MAS), Hierarchical Reinforcement Learning (HRL), arquiteturas modulares orientadas a objetivos (Sec. IV.A, p. 18917); capacidades dos agentes: raciocínio/planejamento, uso de ferramentas e integração com APIs, memória episódica/semântica, RAG, instruction fine-tuning (Sec. IV.C, p. 18917); supervisão humana via Human-in-the-Loop (HITL) e Human-on-the-Loop (HOTL) mais protocolos de override (Sec. IX.B, p. 18926); ferramentas: OpenAI Gym, Unity ML-Agents, TensorFlow Agents, PyMARL, Rasa (Sec. IV.E, p. 18918)"
"Metodologia","Survey narrativo/abrangente de literatura com análise comparativa; nenhum protocolo sistemático (Kitchenham), strings de busca ou contagem de artigos é reportado. Inclui estudos de caso qualitativos (monitoramento em saúde, trading algorítmico, atendimento ao cliente em e-commerce, manutenção preditiva) (Sec. VI.B, pp. 18922-18923); um conjunto de métricas de comparação (Table 8) e datasets/ambientes de benchmark: MIMIC-III, PhysioNet, Yahoo Finance/NASDAQ, CARLA, OpenAI Gym, MultiWOZ, NASA Prognostics Data Repository (Sec. VI.A-VI.C, pp. 18922-18924). Nenhum dataset, ambiente ou tamanho de amostra próprio (Sec. I.C, p. 18913)"
"Impacto nas Métricas de MTTD e MTTR","Não aplicável — nenhuma medição de MTTD, MTTR, fadiga de alertas ou resolução de incidentes é reportada. Apenas alegações qualitativas adjacentes: um estudo de caso de Agentic AI hospitalar ""improves the time taken to respond to various health issues"" (Sec. VI.B, p. 18922); agentes de atendimento ao cliente ""enhancing response time and client satisfaction"" (Sec. V.B, p. 18919); sistemas de manutenção preditiva ""have reduced downtime by proactively anticipating equipment failures"" (Sec. VI.D, p. 18924). Nenhum baseline ou percentual é fornecido"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Propõe métricas de avaliação para implantações agênticas: adaptabilidade, eficiência no alcance de objetivos, taxa de aprendizado/convergência, robustez e resiliência, escalabilidade, satisfação do usuário/eficiência da colaboração humano-IA (Sec. VI.A, Table 8, p. 18922-18923). Avaliação crítica: modelos híbridos clássicos+agênticos ""often yield superior results""; os modos de falha incluem overfitting a tendências históricas, heterogeneidade de dados, integração com sistemas legados e restrições de escalabilidade (Sec. VI.D, p. 18924). O escalonamento multiagente amplifica a dependência de objetivos e o uso de recursos; controle descentralizado, federated learning e estruturas hierárquicas são direções de mitigação (Sec. VII.C-VII.D, pp. 18924-18925; Sec. X.F, p. 18929). Alto custo computacional/energético de agentes baseados em RL é observado (Sec. VII.C, p. 18924)"
"Limitações / Trabalhos Futuros","Os autores identificam desafios em aberto: alinhamento de objetivos com valores humanos (IRL/CIRL), adaptabilidade ambiental/situacional, restrições de recursos, escalabilidade, responsabilização, viés/justiça/transparência, privacidade/segurança e regulação em evolução (Sec. VII, pp. 18924-18925; Sec. VIII, pp. 18925-18926). Roadmap de pesquisa: alinhamento de valores, arquiteturas descentralizadas e federated learning, meta-/transfer-learning para adaptação sem retreinamento, hardware/algoritmos energeticamente eficientes, frameworks éticos e de governança universais, sistemas de aprendizado em tempo real (Sec. X.J, p. 18932). Nenhuma limitação do próprio método de survey é declarada (Sec. X, pp. 18928-18932)"
"Relevância para Minha Dissertação","Este survey fornece a espinha dorsal conceitual da dissertação: definições operacionais de Agentic AI versus IA tradicional/generativa e as arquiteturas MAS, HRL e modulares orientadas a objetivos que um copiloto de resposta a incidentes poderia adotar. Seu tratamento da supervisão HITL/HOTL e dos protocolos de override mapeia-se diretamente no design do copiloto (supervisionado por humanos) destinado a reduzir MTTD/MTTR com segurança. As métricas de avaliação propostas (adaptabilidade, eficiência no alcance de objetivos, robustez, eficiência da colaboração humano-IA) podem complementar MTTD/MTTR como dimensões secundárias de avaliação. Entretanto, não contém conteúdo de AIOps, observabilidade ou gestão de incidentes, nem métricas operacionais quantitativas, servindo como fundamentação de base e não como evidência direta."
"Pontuação de Relevância","Média — é uma referência fundacional sobre arquiteturas de Agentic AI/MAS, supervisão HITL e métricas de avaliação agêntica (temas prioritários), mas não aborda contexto de resposta a incidentes nem reporta dados de MTTD/MTTR."
"ID do Artigo","P10"
