"Field","Extraction"
"Title","LLM Agentic Workflow for Automated Vulnerability Detection and Remediation in Infrastructure-as-Code"
"Authors","Dheer Toprani; Vijay K. Madisetti"
"Year & Venue","2025; IEEE Access, Vol. 13, pp. 69175-69181; DOI 10.1109/ACCESS.2025.3560911; published 15 April 2025"
"Core Problem Addressed","Misconfigurations in Infrastructure-as-Code (IaC) templates create security vulnerabilities in cloud environments; traditional static analysis, rule-based tools, and manual audits fail to detect subtle, context-specific and interdependent misconfigurations, limiting scalable, continuous security coverage (Sec. I, p. 69175)"
"Proposed Solution / Agentic AI Role","Multi-agent, LLM-driven pipeline with RAG: (1) Retrieval System fetches AWS best-practice snippets from a vector store; (2) Vulnerability Detection Agent interprets the CloudFormation template in context; (3) Report Generation Agent produces a developer-friendly prioritized report; implemented with Anthropic Claude Sonnet 3.5 V2 via Amazon Bedrock Agents, Titan Text Embeddings V2, vector DB (e.g., Amazon OpenSearch), integrated into CI/CD; a developer feedback loop is proposed but not implemented (Sec. III-IV, pp. 69176-69178)"
"Methodology","Prototype implementation plus experimental evaluation on a curated corpus of 10 AWS CloudFormation templates (1-12 resources each), about half deliberately seeded with known misconfigurations (unencrypted S3, permissive IAM, open Security Groups, unencrypted RDS); ground-truth annotation by one AWS specialty-certified cloud engineer; compared conceptually against CDK-Nag and manual audits (Sec. V.A, p. 69178)"
"Impact on MTTD & MTTR Metrics","Not applicable - MTTD/MTTR are not measured; related proxies: 85% detection rate of known misconfigurations, ~15% false positives (relevant to alert fatigue: RAG used to ""minimize unnecessary alerts""), 80-100 seconds analysis latency per template, and remediation guidance ""cutting down the manual effort needed to interpret and fix identified vulnerabilities"" (Sec. III.B, p. 69177; Sec. V.A, V.D, pp. 69178-69179)"
"General Impact on Agentic AI / Multi-Agent Systems","Multi-agent orchestration ""enhances modularity, scalability, and maintainability"" with independently improvable agents; RAG grounding reduced LLM hallucinations (deprecated parameters/outdated services); latency per template 80-100 s total (retrieval 1-3 s; LLM inference 15-40 s per step) vs under 5 s for static rule checks; ~5% of remediations were overly conservative; the LLM struggled with conditional/parameterized templates; knowledge-base staleness caused missed flags until updated (Sec. III.A, p. 69177; Sec. V.B-V.E, pp. 69178-69179)"
"Limitations / Future Work","Limitations: dependency on an up-to-date knowledge base (outdated entries cause false positives/missed issues); poor handling of conditional logic and specialized templates; small 10-template evaluation with manual annotation. Future work: developer feedback loop, organization-specific ""context modules"", hybrid rule-based prescreening before LLM invocation, generalization to Terraform and multi-cloud (Azure, Google Cloud, Kubernetes), ablation studies and semi-automated labeling to scale evaluation (Sec. V.A, p. 69178; Sec. VI-VII, pp. 69180-69181)"
"Relevance to My Thesis","This paper demonstrates a concrete three-agent LLM pipeline (retrieval, detection, reporting) with RAG grounding that is architecturally transferable to an incident-response copilot: the detection agent parallels alert triage and the report agent parallels remediation-guidance generation for on-call engineers. Its evidence that RAG reduces hallucinations and false positives is directly useful for arguing that a grounded agentic copilot can lower alert fatigue. The reported latency profile (80-100 s per analysis) provides a benchmark for whether agentic pipelines fit time-critical MTTD/MTTR loops. However, it targets pre-deployment IaC security rather than live incident response, and it reports no MTTD/MTTR measurements, so it serves as supporting architectural evidence rather than direct metric evidence."
"Relevance Score","Medium - adjacent work: a multi-agent LLM+RAG workflow for cloud operations security with detection-rate, false-positive, and latency metrics, but it addresses pre-deployment vulnerability detection and does not measure MTTD/MTTR or incident response."
"Paper ID","P20"
