"Campo","Extração"
"Título","Small Language Model Agent for the Operations of Continuously Updating ICT Systems"
"Autores","Nobukazu Fukuda; Haruhisa Nozue; Haruo Oishi"
"Ano e Veículo","2025; IEEE Access, vol. 13 (publicado em 24 de fevereiro de 2025)"
"Problema Central Abordado","A gestão de sistemas de ICT (redes, servidores) consome muito tempo e exige adesão estrita a manuais operacionais e políticas continuamente atualizados; os agentes LLM existentes pressupõem LLMs proprietários sofisticados baseados em API, elevando custos operacionais e preocupações de confidencialidade, enquanto SLMs apresentam desempenho significativamente inferior em tarefas de tomada de decisão, falham em interpretar contexto e têm dificuldade com trajetórias de longo horizonte (Sec. I, pp. 37522-37523)."
"Solução Proposta / Papel da Agentic AI","Um framework de agente único baseado em Small Language Model (SLM) para operação autônoma de ICT, implantável em uma única GPU, usando few-shot prompting com duas técnicas: (A) nested thoughts — trajetórias passadas são estendidas com tags de início/fim de subtarefas e decompostas em blocos com chaves de recuperação, timestamps e ações em scripts Python executadas no agente; (B) reconfiguração dinâmica de prompts — recuperação de blocos baseada em templates via análise de logs (expressões regulares), corte top-k dinâmico e seleção de exemplares consciente de diversidade para mitigar o raciocínio por atalhos identificado empiricamente; uma verificação de segurança em pós-processamento rejeita qualquer saída cujo template seja dissimilar às saídas dos exemplares, garantindo conformidade com as políticas operacionais; o objetivo é dado pelo operador do sistema e o agente interage iterativamente com o sistema de ICT; SLMs utilizados: LLaMA2 quantizado (7B), Gemma2 (9B), Mistral (7B); similaridade via SentenceTransformer all-mpnet-base-v2 (Sec. IV, pp. 37525-37527; Sec. V-C, p. 37528)."
"Metodologia","Experimentos controlados (avaliação de protótipo) em dois benchmarks: ALFWorld, um benchmark público sintético baseado em texto com 134 configurações de ambiente distribuídas em 6 tipos de tarefas e 12 trajetórias de exemplares; e WideEnet, um benchmark de mundo real de operações de redes Ethernet de longa distância construído a partir de manuais operacionais com 7 tarefas, 34 trajetórias de exemplares e 85 configurações de ambiente de teste, além de atualizações incrementais de ambiente (mudanças de formato de comandos, operações adicionadas/removidas) com apenas duas trajetórias atualizadas adicionadas; métrica: taxa de sucesso das tarefas; baselines: Act, ReAct, RAP; hardware: NVIDIA GeForce 2080Ti com 11GB de memória (Sec. V-A a V-C, pp. 37528)."
"Impacto nas Métricas de MTTD e MTTR","Não especificado — nenhuma métrica de MTTD, MTTR, alert fatigue ou tempo de resolução é reportada; o artigo afirma qualitativamente que a operação autônoma ""has the potential to reduce the time and burden of human endeavors"" (Abstract, p. 37522) e que se espera que o agente SLM ""mitigate the time-intensive endeavors of system operators"" (Sec. VI, p. 37532)."
"Impacto Geral em Agentic AI / Sistemas Multiagente","No ALFWorld, o método proposto com LLaMA2 atinge 96,3% de sucesso, superando ReAct com GPT-4 (85,8%) e RAP com GPT-4 (94,8%); a amostragem de exemplares consciente de atalhos eleva o sucesso two-shot de 84,3% (sem consciência de atalhos) para 96,3% contra 79,9% one-shot; no WideEnet, o melhor sucesso é do Mistral (88,9%) e a maior melhoria é do LLaMA2 (de 3,70% para 87,0%) sobre o ReAct; sob atualizações incrementais, adicionar poucas trajetórias melhora o sucesso de 29,4% para 78,8% após a terceira atualização; sobrecarga computacional: em média 5,2 vezes mais chamadas de LM do que passos no ambiente e 2,1 vezes as chamadas de LM do ReAct; um modo de falha é apresentado no qual o SLM produz um formato errôneo e a verificação de segurança marca a tarefa como falha (Sec. V-D, pp. 37529-37531)."
"Limitações / Trabalhos Futuros","Limitações: o agente não consegue lidar com situações não cobertas pelas trajetórias estendidas, e aumentar manual ou heuristicamente pensamentos/tags em históricos operacionais é custoso; alguns manuais têm formato livre com gráficos/diagramas, tornando a geração mecânica de trajetórias um problema desafiador; a verificação exige a construção de um ambiente interativo, o que demanda amplo conhecimento do sistema e esforço de desenvolvimento. Trabalhos futuros: extração de trajetórias legíveis por agentes a partir de documentos multimodais e históricos operacionais, e construção de ambientes de verificação de agentes de baixo custo; o framework poderia se estender a microsserviços, nuvem, 5G/WAN, provisionamento, root cause analysis e troubleshooting (Sec. VI, p. 37532)."
"Relevância para Minha Dissertação","Este artigo demonstra uma abordagem agêntica consciente de custos e confidencialidade para operações autônomas de ICT que informa diretamente o projeto de um copiloto de resposta a incidentes: sua geração de ações em conformidade com políticas e sua barreira de segurança por similaridade de exemplares são mecanismos concretos para manter uma Agentic AI dentro de runbooks aprovados, uma preocupação central ao automatizar a remediação para reduzir o MTTR. Sua evidência de que um agente SLM implantado localmente pode superar ReAct/RAP baseados em GPT-4 sustenta arquiteturas de copiloto on-premises para organizações com restrições de sensibilidade de dados. Os resultados de adaptação a atualizações contínuas são relevantes para operações reais em que os runbooks evoluem após incidentes. Entretanto, o artigo avalia taxa de sucesso de tarefas em vez de MTTD/MTTR, de modo que fornece insights arquiteturais e de segurança em vez de baselines de métricas de incidentes para a dissertação."
"Pontuação de Relevância","Média — um agente SLM/LLM para operações autônomas de rede/ICT (adjacente a AIOps, agente único) com forte relevância metodológica, mas que não mede MTTD, MTTR nem outras métricas de resposta a incidentes."
"ID do Artigo","P21"
