"Campo","Extração"
"Título","Agentic AI: A Comprehensive Survey of Technologies, Applications, and Societal Implications"
"Autores","Ashis Kumar Pati"
"Ano e Veículo","2025; IEEE Access, vol. 13, pp. 151824-151837; DOI 10.1109/ACCESS.2025.3585609"
"Problema Central Abordado","Uma ""striking lack of readily available and understandable materials"" sobre Agentic AI: os conceitos fundamentais estão dispersos entre RL, colaboração humano-IA e frameworks de agentes baseados em LLM, sem nenhum recurso abrangente que os unifique; os surveys existentes apresentam lacunas nas distinções entre IA tradicional e Agentic AI, metodologias, tipos de agentes, impacto societal e problemas em aberto (Sec. II and II.A, pp. 151825-151827)"
"Solução Proposta / Papel da Agentic AI","Nenhuma arquitetura nova; um survey conceitual/estruturado. Define Agentic AI (proatividade; autonomia, adaptabilidade, orientação a objetivos), distingue-a da IA tradicional e dos AI Agents (agentes como tijolos, Agentic AI como a casa orquestradora), apresenta um ciclo de funcionamento em quatro fases (coleta de dados, tomada de decisão, aprendizado, colaboração), classifica os agentes (reativos, baseados em modelo, baseados em objetivos, baseados em utilidade, de aprendizado, de metarraciocínio; agente único, multiagente, enxame, colaborativos humano-IA) e revisa as tecnologias habilitadoras (LLMs/NLP, RL/IRL, imitation learning, frameworks de MAS/enxame, integração neurossimbólica, grafos de conhecimento) e frameworks de projeto (BDI, SOAR, ACT-R), além de ambientes de simulação (Unity ML, OpenAI Gym, Mesa) (Sec. I.A-B, III, IV, pp. 151824-151830)"
"Metodologia","Survey/revisão narrativa de literatura (o autor a chama de ""structured literature review""); compara-se com 11 surveys existentes em dimensões de cobertura (escala BC/ID/ND, Table 3); nenhum protocolo sistemático de busca, dataset, experimento ou tamanho de amostra é reportado (Sec. II and II.A, Table 3, pp. 151825-151827)"
"Impacto nas Métricas de MTTD e MTTR","Não aplicável (survey conceitual; nenhuma métrica de MTTD, MTTR, fadiga de alertas ou tempo de resolução é medida). Dado secundário mais próximo reportado: citando [2], a Agentic AI em ~500 organizações apresentou ""a 34.2% reduction in completing the task, increasing the accuracy by 7.7%"" e 13,6% de melhoria na utilização de recursos (Sec. I.A, p. 151825); qualitativamente, agentes de TI e cibersegurança monitoram continuamente, detectam ameaças, bloqueiam imediatamente transações fraudulentas e alertam os sistemas de segurança (Sec. V.D, pp. 151831-151832)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Apenas qualitativo: MAS possibilitam coordenação hierárquica ou peer-to-peer para tarefas complexas (p. ex., cadeias de suprimentos) e sistemas de enxame são adequados a ambientes dinâmicos (Sec. III.C, pp. 151828-151829); as métricas de avaliação propostas são robustez, escalabilidade, segurança, taxa de conclusão de tarefas e eficiência de comunicação (largura de banda/latência) (Sec. IV.B.3, p. 151830); os modos de falha reportados incluem complexidade computacional e de coordenação com o crescimento do número de agentes, interpretabilidade de caixa-preta, atribuição de responsabilidade pouco clara entre agentes em um MAS e vulnerabilidades de segurança decorrentes da autonomia e do acesso direto a bancos de dados (Sec. VII.A, pp. 151832-151833)"
"Limitações / Trabalhos Futuros","Problemas em aberto listados pelo autor: Agentic AI transparente/causal, agentes híbridos neurossimbólicos, cooperação e negociação multiagente, colaboração humano-IA que se adapta a feedback e emoção, arquiteturas energeticamente eficientes, transferência Sim2Real, computação quântica para escalabilidade e robustez contra ataques adversariais; observa também que políticas de RL não se transferem entre domínios dissimilares e que workflows híbridos com supervisão humana e XAI são necessários (Sec. V.D end, p. 151832; Sec. VII.B, pp. 151833-151834). O artigo não declara explicitamente limitações do próprio método de survey (Não especificado)"
"Relevância para Minha Dissertação","Este survey fornece andaimes conceituais em vez de evidência sobre resposta a incidentes. Sua distinção entre AI Agents e Agentic AI e o enquadramento de orquestração (agentes especializados coordenados em um pipeline orientado a objetivos, com um agente alertando humanos) mapeiam-se diretamente em uma arquitetura de copiloto para detecção e remediação de incidentes. O ciclo de quatro fases (perceber, decidir, aprender, colaborar) e o paradigma colaborativo humano-IA com workflows híbridos de supervisão sustentam o design de copiloto com humano no loop da minha dissertação. Suas dimensões de avaliação propostas (robustez, taxa de conclusão de tarefas, latência de comunicação) e seus modos de falha de MAS (sobrecarga de coordenação, atribuição de responsabilidade, interpretabilidade) informam as ameaças à validade ao medir MTTD/MTTR com sistemas agênticos. Entretanto, não oferece evidência de AIOps, observabilidade ou métricas de incidentes, servindo apenas como suporte contextual/definicional."
"Pontuação de Relevância","Baixa - um survey conceitual amplo sobre Agentic AI com uma breve menção a monitoramento de cibersegurança, mas sem foco em AIOps/observabilidade e sem medições de MTTD/MTTR ou de resolução de incidentes."
"ID do Artigo","P06"
