"Campo","Extração"
"Título","Telemetry and Agentic AI: Foundations for Optical Network Automation"
"Autores","Sergio Cruzes"
"Ano e Veículo","2026; IEEE Access, vol. 14 (recebido em 11 de dezembro de 2025, aceito em 24 de dezembro de 2025, data de publicação 30 de dezembro de 2025, data da versão corrente 20 de janeiro de 2026); DOI 10.1109/ACCESS.2025.3649768"
"Problema Central Abordado","Redes ópticas transportam tráfego crescente sobre equipamentos multi-vendor heterogêneos sob restrições físicas estritas, tornando a gestão tradicional difícil de manter e exigindo detecção mais precoce de impairments, reação mais rápida e controle coordenado entre domínios; a literatura anterior trata telemetria, ML, digital twins (DTs) e componentes agênticos majoritariamente de forma isolada, sem uma visão unificada de como interagem em loops fechados de automação (Sec. I, pp. 8800-8801; Sec. II, pp. 8801-8802)"
"Solução Proposta / Papel da Agentic AI","Survey combinado com síntese arquitetural: um framework unificado no qual a telemetria atua como camada sensorial, modelos de AI/ML fornecem inferência e predição, DTs permanecem alinhados à rede física e validam ações candidatas, e estruturas de Agentic AI coordenam decisões (Sec. I, pp. 8800-8801); uma arquitetura agêntica de referência sintetizada da literatura com quatro camadas - streaming de dados orientado a eventos (Kafka, gRPC, MQTT, Redis), uma camada de multi-agent system (MAS) com agentes especializados (monitoring, fault analysis, QoT, RSA, DT, execution), uma camada de integração de LLM (multimodal encoder, RAG, LoRA tuning) como núcleo de raciocínio para intent parsing e geração de planos, e uma infraestrutura de controle/validação que roteia ações candidatas por simulação em DT (p.ex., GNPy) e checagens de política antes da execução via SDN (Sec. VI-K, Fig. 9, p. 8818; Sec. IV-D, p. 8811); os agentes são construídos sobre as capacidades de role, perception, reasoning, memory, action e learning, com escalonamento human-in-the-loop para ações de alto impacto (Sec. VI-G, pp. 8817-8818; Sec. VI-E, p. 8817)"
"Metodologia","Survey de literatura combinado com síntese arquitetural; todos os componentes derivam de literatura prévia e prática operacional - ""No new protocol, algorithm, or control mechanism is proposed"" (Sec. I, p. 8801); nenhum experimento, dataset, ambiente ou tamanho de amostra é reportado pelo autor; quatro exemplos ilustrativos de implementação (detecção de soft failure, realocação de espectro, ajuste de ganho de amplificador, expansão de rede) refletem padrões de implementações já reportadas, complementados por uma tabela de demonstrações publicadas (Sec. VII-G, Table 10, pp. 8826-8829) e uma síntese de tendências comuns (Sec. X, pp. 8832-8833)"
"Impacto nas Métricas de MTTD e MTTR","MTTD e MTTR não são mencionados nem medidos; os objetivos declarados são qualitativos - detectar impairments mais cedo e reagir mais rápido (Abstract, p. 8800); os números quantitativos são citados da literatura pesquisada, e não medidos: extração de features na borda pode reduzir o volume de telemetria ""by more than 99%"" mantendo processamento subsegundo (Sec. III-D, p. 8803); pipelines híbridos que combinam raciocínio de LLM com classificadores leves ""reduce decision latency by 40-60 percent"", designs distribuídos reduzem a latência fim a fim por fatores da ordem de 3-5 versus designs totalmente centralizados, e Kafka viabiliza intervalos de entrega da ordem de 100 ms (Sec. III-G, p. 8805); um exemplo de ajuste de ganho de amplificador ""reduced restoration time"" sem números informados (Sec. VII-G, p. 8826)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Contrasta automação rule-based com Agentic AI em adaptabilidade, coordenação, escalabilidade e adequação a loops fechados (Table 6, p. 8815); cataloga modos de falha de MAS com salvaguardas - decisões conflitantes entre agentes (single commit point, action locking por recurso), telemetria obsoleta (timestamps, limiares de freshness, tópicos de heartbeat), dessincronização do DT (reconciliação contínua, rebaixamento de autoridade), alucinações de LLM (restringir o LLM a planejamento/explicação, schema validation, tool gating, human-in-the-loop) e erros de automação em cascata (rate limits, cool-down timers, rollback, memória em nível de incidente) (Sec. VI-E, p. 8817); descreve padrões de implantação (orchestrator-worker, hierárquico, blackboard, orientado a mercado) (Sec. VI-H, p. 8818); discute otimização de latência/custo (quantization, speculative decoding, continuous batching, crescimento de custo de APIs por token) (Sec. VI-J, p. 8818; Sec. VIII-E, p. 8829); mapeia telemetria e Agentic AI nos níveis de autonomia L0-L5 do TM Forum (Sec. VII-E, Table 8, pp. 8824-8826)"
"Limitações / Trabalhos Futuros","Desafios reconhecidos: dados de telemetria multi-vendor incompletos/ruidosos limitando a acurácia dos modelos, lacunas de interoperabilidade entre vendors, orçamentos estritos de latência em tempo real versus o footprint computacional de LLMs e workflows de agentes, riscos de confiabilidade/segurança incluindo comandos de configuração alucinados, custos de computação e de precificação por token, rastreabilidade/transparência em redes reguladas, e alinhamento com políticas e competências do operador (Sec. VIII, pp. 8827-8830); os ganhos de latência citados são ""indicative ranges observed in specific implementations rather than universal bounds"" (Sec. III-G, p. 8805); direções futuras: ecossistemas dinâmicos de agentes cooperantes, compressão de telemetria (learned encoders, modelos estilo JEPA, tags semânticas), DTs distribuídos, salvaguardas via causal AI, knowledge graphs, sistemas memory-augmented e validação cruzada entre agentes, padronização de telemetria multi-vendor (federated learning, ledgers estilo blockchain) e integração com optical fabrics emergentes (Sec. IX, Table 11, pp. 8830-8832)"
"Relevância para Minha Dissertação","Este survey oferece um blueprint fundamentado em domínio exatamente do loop que minha dissertação visa: telemetria/observabilidade como camada sensorial alimentando agentes especializados (monitoring, fault analysis, planning, execution) cujas ações são validadas antes de tocar a produção - estrutura diretamente transferível a um Agentic AI Copilot para resposta a incidentes, em que agentes de detecção, diagnóstico e remediação exercem papéis análogos. Sua taxonomia de modos de falha agênticos e salvaguardas (telemetria obsoleta, alucinações de LLM, erros de automação em cascata, escalonamento human-in-the-loop) informa o design de autonomia segura necessário a um copilot destinado a reduzir MTTD e MTTR. O mapeamento de autonomia L0-L5 do TM Forum fornece uma escala de maturidade para posicionar o nível de autonomia do copilot. Contudo, por ser um survey em redes ópticas sem métricas de gestão de incidentes, apoia o enquadramento conceitual e arquitetural, e não evidência empírica de MTTD/MTTR."
