"Campo","Extração"
"Título","The Chatbot Usability Scale: the Design and Pilot of a Usability Scale for Interaction with AI-Based Conversational Agents"
"Autores","Simone Borsci; Alessio Malizia; Martin Schmettow; Frank van der Velde; Gunay Tariverdiyeva; Divyaa Balaji; Alan Chamberlain"
"Ano e Veículo","2021 (publicado online em 21 de julho de 2021; ano da edição 2022); Personal and Ubiquitous Computing (Springer), vol. 26, pp. 95-119"
"Problema Central Abordado","""Standardised tools to assess a user's satisfaction with the experience of using chatbots and conversational agents are currently unavailable""; as escalas de usabilidade existentes (SUS, UMUX, UMUX-LITE) não foram desenvolvidas para considerar os aspectos conversacionais que caracterizam a interação com chatbots de CRM baseados em AI (Abstract; Sec. 1, p. 96)"
"Solução Proposta / Papel da Agentic AI","Nenhum framework agêntico é proposto; agentes conversacionais baseados em AI (chatbots de CRM) são o objeto da avaliação, não a solução. Dois instrumentos são desenvolvidos: (i) BOT-Check, um checklist diagnóstico com 14 atributos para agentes de CRM de interação de curto prazo, mais 3 atributos adicionais para agentes de longo prazo, para designers controlarem a qualidade do chatbot; (ii) BUS-15, um questionário de satisfação com 15 itens (Likert de 5 pontos) distribuídos em cinco fatores: perceived accessibility to chatbot functions, perceived quality of chatbot functions, perceived quality of conversation and information provided, perceived privacy and security e time response (Sec. 5.2.2, p. 108; Sec. 6, p. 109; Apêndices 6 e 8)"
"Metodologia","Desenvolvimento de escala em quatro estudos sequenciais: (1) revisão sistemática da literatura seguindo as diretrizes PRISMA (base final de 34 itens de literatura; lista revisada de 27 atributos a partir dos 38 de Radziwill e Benton); (2) survey online de consenso com 29 participantes concluintes de 50 convidados entre experts e end-users (Krippendorff's Alpha = 0.780; 17 atributos retidos); (3) painel de experts (4 membros) e focus groups com 16 voluntários (8 mulheres, 8 homens; idade M = 22.1, SD = 2.84) gerando um BUS de 42 itens sobre 14 atributos; (4) piloto psicométrico com 96 voluntários (22 mulheres, 74 homens; idade M = 23.7, SD = 4.8), cada um interagindo com 5 de 10 chatbots de CRM reais em tarefas de information retrieval — 480 questionários coletados, 385 completos — analisado com Bayesian Exploratory Factor Analysis de 50.000 iterações (cinco fatores; taxa de aceitação Metropolis-Hastings = 0.996; itens retidos com carga acima de 0.7), análise de confiabilidade e correlação de Pearson com o UMUX-LITE em 372 medições válidas (Sec. 2-5, pp. 98-108; Fig. 1, p. 97)"
"Impacto nas Métricas de MTTD e MTTR","Not applicable — estudo de HCI de design e piloto de escala; nenhuma métrica de MTTD, MTTR, alert fatigue ou tempo de resolução de incidentes é reportada no artigo (os resultados reportam apenas propriedades psicométricas, Sec. 5.2, pp. 108-109)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Not applicable para orquestração multiagente, autonomia, latência ou custo; para a avaliação de agentes conversacionais baseados em AI, reporta: confiabilidade estimada do BUS-15 entre .76 e .87 nos cinco fatores, alpha geral = .87; a satisfação medida pelo BUS-15 variou de um mín. de 51.9% a um máx. de 80.1%, contra 46.8% a 88.1% do UMUX-LITE; o BUS-15 geral correlaciona-se fortemente com o UMUX-LITE por chatbot, enquanto os fatores F1 (accessibility), F4 (privacy and security) e F5 (time response) capturam aspectos não cobertos pelo UMUX-LITE (Abstract; Sec. 5.2.2-5.2.3, p. 108; Tabela 7, p. 106)"
"Limitações / Trabalhos Futuros","O BUS-15 ""requires further testing and validation"" e ""currently cannot be used as an off-the-shelf product for user research and usability tests""; os participantes eram majoritariamente jovens (abaixo de 35 anos) e pessoas com deficiência não foram incluídas (atributo 'Meets neurodiverse needs' adiado); é necessária validação adicional com maior número de chatbots e participantes mais diversos; alguns chatbots fecharam ou foram suspensos durante o estudo (COVID-19), refletindo a volatilidade do mercado (Abstract; Sec. 4.1, p. 105; Sec. 6, p. 109)"
"Relevância para Minha Dissertação","O artigo não contém conteúdo de incident response, AIOps ou observability, mas fornece um instrumento pilotado (BUS-15) para medir a satisfação do usuário com agentes conversacionais baseados em AI. Como o copilot da dissertação expõe uma interface conversacional (baseada em LLM) para engenheiros SRE/on-call, o BUS-15 e seus cinco fatores podem servir como instrumento de avaliação de fatores humanos da satisfação dos operadores, complementando as medições objetivas de MTTD/MTTR. O checklist BOT-Check pode, adicionalmente, guiar o design e a inspeção heurística da UX conversacional do copilot antes dos testes com usuários. A metodologia em quatro estudos (revisão de atributos, consenso de stakeholders, focus groups, piloto psicométrico) é também uma referência metodológica para construir questionários de avaliação voltados aos operadores."
"Pontuação de Relevância","Low — tangencial: não mede MTTD/MTTR nem aborda AIOps ou abordagens agênticas, servindo apenas como instrumento candidato de HCI para avaliar a satisfação com a interface conversacional do copilot."
"ID do Artigo","P63"
