"Field","Extraction"
"Title","Enhancing Autonomous System Security and Resilience with Generative AI: A Comprehensive Survey"
"Authors","Martin Andreoni; Willian T. Lunardi; George Lawton; Shreekant Thakkar"
"Year & Venue","2024; IEEE Access (accepted author version; DOI 10.1109/ACCESS.2024.3439363)"
"Core Problem Addressed","Autonomous systems (UAVs/UxVs, self-driving cars, robotic arms) face escalating security, resilience, and safety challenges from complexity, connectivity, and cyber-physical threats; traditional AI/ML approaches fall short in intrusion detection, risk assessment, and system resilience for these context-aware edge environments (Sec. I, pp. 1-2)."
"Proposed Solution / Agentic AI Role","Survey mapping how GenAI models (GANs, VAEs, Transformers, LLMs, GDMs, NFMs, VLMs) enhance security and resilience across four domains: individual entities (anomaly detection, autonomy, adaptability, predictive maintenance, fault management), fleet (swarm intelligence, coordination, communication resilience, consensus), human-robot interaction (mission planning, human-machine teaming via MAPE-KMT feedback loop, meta-learning, safety), and cybersecurity (pentesting, malware/intrusion detection, threat intelligence, zero-trust); agentic elements include TII multi-agent LLMs on individual devices collaborating to plan and execute tasks for intent-based networking, and LLM-based frameworks (DriveLLM, REAL, COA-GPT, LLM-Brain) for real-time decision-making (Sec. IV, pp. 7-17; Sec. IV-B.2, p. 11)."
"Methodology","Comprehensive literature survey (secondary study) categorizing existing research on GenAI for autonomous systems; compares 17 prior surveys in Table 1 and organizes primary studies into a taxonomy of four application domains plus challenges/future directions; no systematic review protocol (search strings, databases, inclusion criteria) or paper counts reported (Sec. I-II, pp. 2-5; Fig. 1, p. 3; Not specified for SLR protocol details)."
"Impact on MTTD & MTTR Metrics","Not applicable — the survey reports no MTTD, MTTR, alert fatigue, or incident-resolution-time metrics; closest analogues are qualitative/indirect: BERTery detects battery behavior changes indicating ""an imminent failure up to 24 hours in advance"" (Sec. IV-A.5, p. 10); FPGA porting of fault-detection algorithms gave ""a fortyfold increase in processing speed and a 50% reduction in power consumption"" (Sec. IV-A.5, p. 10); ARCADE achieves higher accuracy and quicker response times processing initial packets of a network flow (Sec. IV-D.3, p. 16)."
"General Impact on Agentic AI / Multi-Agent Systems","Multi-agent and swarm results reported from surveyed works: MAPPO-GAIL achieved ""a 73.3% increase in cooperative search efficiency"" over traditional DRL (Sec. IV-B.2, p. 11); LMPC (PaLM 2) improved teaching effectiveness by 26.9% for novel tasks and adaptability to new robot configurations by 31.5% (Sec. IV-C.3, p. 13); blockchain coordination (DPOS/PBFT) scales to 500 nodes with minimal overhead (Sec. IV-B.2, p. 11); ChatGPT and GitHub Co-Pilot were ""ineffective in generating practical code for consensus protocols"" while RL-generated candidates were more promising (Sec. IV-B.4, p. 12); GPT-4 cost about $0.006 per 750 words and multi-agent/federated configurations open complex-system attack surfaces (Sec. V, p. 17)."
"Limitations / Future Work","Author-acknowledged challenges: high cost and compute (LLMs restricted to high-end servers; edge cases still require human intervention), model accuracy degradation and hallucinations, privacy risks and data extraction attacks, adversarial vulnerabilities (jailbreak, prompt injection, multimodal and complex-system attacks), and size/scalability limits for edge deployment (Sec. V, pp. 17-18); future directions: continuous authentication, AI firewalls, security benchmarks (CyberMetric, SecQA, CyberBench), explainability/transparency standards, dynamic adaptation of security policies, and scalable ethical AI integration (Sec. V-A, p. 18); many surveyed projects are ""early in their maturity"" (Sec. IV, p. 7)."
"Relevance to My Thesis","This survey is tangential to the thesis: its domain is cyber-physical autonomous systems (drones, vehicles, robots), not IT operations, observability, or incident response, and it never measures MTTD/MTTR. Still, it offers transferable evidence that GenAI/LLM agents improve detection and recovery functions — anomaly detection, fault prediction up to 24 hours in advance, self-healing via automated debugging and code generation, and multi-agent LLM collaboration for task planning — which parallel the copilot roles envisioned in the thesis. Its MAPE-KMT human-machine teaming discussion and its catalog of LLM failure modes (hallucination, prompt injection, cost, latency) are useful for designing human-in-the-loop guardrails for an incident-response copilot. It is best used as background on GenAI resilience mechanisms and agentic risks rather than as evidence for incident-metric improvement."
"Relevance Score","Low — comprehensive GenAI-for-security survey in the autonomous-systems (UxV/robotics) domain with no AIOps, incident management, or MTTD/MTTR content; only conceptually adjacent via anomaly detection, self-healing, and multi-agent LLM coordination."
"Paper ID","P12"
