"Campo","Extração"
"Título","A Neuroergonomics Approach to Mental Workload, Engagement and Human Performance"
"Autores","Frédéric Dehais; Alex Lafont; Raphaëlle Roy; Stephen Fairclough"
"Ano e Veículo","2020; Frontiers in Neuroscience (Front. Neurosci.), vol. 14, artigo 268, seção Neural Technology; artigo de revisão; doi: 10.3389/fnins.2020.00268"
"Problema Central Abordado","Mental workload ""remains difficult to operationalize despite decades of research"" e a metáfora de recursos limitados falha em explicar colapsos críticos de desempenho de operadores humanos em contextos safety-critical (mind wandering, effort withdrawal, perseveration, inattentional blindness/deafness a alarmes); a área carece de um framework para prever quando o desempenho do operador tende a degradar (Abstract, p. 1; Sec. Introduction / Toward a Limit of the Theory of Limited Resources, pp. 1-3)"
"Solução Proposta / Papel da Agentic AI","Sem Agentic AI ou LLM; o artigo propõe um framework de neuroergonomia que mapeia estados neurocognitivos indesejáveis em um espaço bidimensional task engagement x arousal, monitoramento da (des)ativação do PFC/DLPFC via EEG, fNIRS, fMRI, ECG e eye tracking (Table 1), e um pipeline de tecnologia neuroadaptativa em malha fechada (aquisição de sinal, pré-processamento, extração de features, classificação, adaptação) que aciona três famílias de contramedidas: (1) adaptação da interface de usuário, (2) adaptação de tarefa e automação (realocação dinâmica de tarefas humano-automação), (3) neuro-adaptação do usuário final (neurofeedback, tDCS) (Sec. Understanding Performance Related Mental States, pp. 5-7; Sec. Solutions to Mitigate Degraded Performance, pp. 7-9)"
"Metodologia","Revisão narrativa (não sistemática) de literatura com síntese de framework conceitual; mapeia marcadores psicofisiológicos e comportamentais de cinco estados mentais degradados na Table 1 e uma tipologia de contramedidas na Figure 4; sem protocolo de SLR, dataset, ambiente ou tamanho de amostra reportados (tipo de artigo REVIEW, p. 1; Sec. Understanding Performance Related Mental States, pp. 5-8; Sec. Solutions to Mitigate Degraded Performance, pp. 7-10)"
"Impacto nas Métricas de MTTD e MTTR","Not applicable — nenhuma métrica de MTTD, MTTR ou resolução de incidentes é reportada; a evidência adjacente mais próxima é trabalho citado sobre atenção a alarmes: pop-up videos com motor cue ""drastically reduced reaction time to alerts during complex situations"" e inattentional deafness explica falha em detectar alarmes auditivos (Sec. Adaptation of the User Interface, p. 7; Sec. Understanding Performance Related Mental States, p. 7)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Not applicable para Agentic AI/sistemas multiagente; para automação adaptativa a revisão reporta estudos citados com ""better human performance when neuro-adaptive automation was switched on"", compartilhamento de autoridade humano-robô guiado por um estimador online de estado atencional, e alerta que intervenções que assumem o controle no lugar do humano arriscam ""performance impairment and reduced trust in technology"" (Sec. Task and Automation Adaptation, pp. 8-9; Sec. Synthesis of Neuro-Adaptive Solutions, p. 9)"
"Limitações / Trabalhos Futuros","Os autores afirmam que o framework ""remains at the conceptual level and minimizes connections to the complexity of brain functioning""; a maioria dos estudos neuroadaptativos limita-se a díades humano-máquina; eficiência de longo prazo e efeitos colaterais de tDCS e exposição à luz requerem investigação; trabalhos futuros: cenários de teaming complexos, hyperscanning, sincronia fisiológica, BCIs colaborativas, e identificação de estados mentais degradados e marcadores adicionais (Sec. Conclusion, pp. 10-11; Sec. Neuro-Adaptation of the End-User(s), p. 9)"
"Relevância para Minha Dissertação","Esta revisão fundamenta o Outcome COGNITIVE_LOAD da minha RSL: explica por que a mental workload do operador é difícil de operacionalizar e identifica os estados degradados (mind wandering, effort withdrawal, perseveration, inattentional deafness a alarmes) que um copilot de resposta a incidentes deveria ajudar a prevenir. Inattentional deafness/blindness a alarmes é o substrato neurocognitivo da alert fatigue no trabalho on-call de SRE, motivando copilots que filtram e priorizam alertas. A tipologia de três famílias de contramedidas neuroadaptativas — em especial a realocação dinâmica de tarefa/automação e a escalada gradual de notificação até take-over — oferece um padrão de design human-in-the-loop com princípios para calibrar o nível de autonomia de um copilot de Agentic AI durante incidentes. Seu alerta de que automação que assume o controle pode reduzir confiança e prejudicar o desempenho informa quanta autonomia o copilot deve assumir. Contudo, não traz evidência de AIOps, LLM ou MTTD/MTTR."
"Pontuação de Relevância","Medium — sem abordagem agêntica ou medição de MTTD/MTTR, mas aborda diretamente a carga cognitiva do operador e o teaming humano-automação, um Outcome adjacente da RSL (COGNITIVE_LOAD)"
"ID do Artigo","P62"
