"Field","Extraction"
"Title","Empirical Study on Automation, AI Trust, and Framework Readiness in Cybersecurity Incident Response"
"Authors","Olufunsho I. Falowo; Jacques Bou Abdo"
"Year & Venue","2026; Algorithms (MDPI journal), vol. 19, article 62; Received 2 December 2025, Published 11 January 2026"
"Core Problem Addressed","Legacy incident response frameworks (NIST, SANS) and current automation tools may be unready for AI-driven threats, and a research gap exists in understanding how practitioners navigate fragmented SOAR integration and under-deployed automation in critical phases like detection, triage, and containment, which diminishes its potential to reduce MTTD and MTTR (Sec. 1, p. 1; Sec. 2.6, p. 4)"
"Proposed Solution / Agentic AI Role","No system or architecture is proposed; the paper empirically quantifies practitioner perceptions of intelligent automation and agentic AI adoption in IR. Agentic AI was defined for respondents as ""autonomous or semi-autonomous AI systems capable of perceiving their environment, reasoning through complex objectives, and taking independent actions"" (e.g., dynamically updating firewall rules, isolating compromised nodes), distinct from linear scripted automation; findings are positioned as the empirical foundation for a future modular, AI-ready IR framework with AI-specific risk models, decision auditability, and human-in-the-loop mechanisms (Abstract, p. 1; Sec. 4.1.2, p. 12; Sec. 6.4, p. 29; Table 5, p. 30)"
"Methodology","Structured, two-part quantitative survey (empirical study): 10 binary Yes/No items on automation/AI trust (RQ1) + 10 binary items on framework readiness (RQ2), plus psychometric validation items; 194 valid responses from U.S.-based cybersecurity professionals (target n=140 from population of 613,500 Computer and Information Systems Managers, 95% confidence, 4.97% margin of error, 10% response proportion); hosted on Qualtrics, distributed via LinkedIn, ISC2, ISACA networks, open first week of September 2025 to first week of October 2025; IRB approved (Univ. of Cincinnati, Protocol 2025-0022-UC); reliability via Cronbach's alpha/KR-20: 0.82 (Part 1) and approximately 0.78 (Part 2) (Sec. 3.1-3.4, pp. 5-9; Sec. 4, p. 10; Sec. 5.2, pp. 23-24)"
"Impact on MTTD & MTTR Metrics","Perception-based only, no measured time values: 92% of respondents affirmed that ""automation has significantly reduced the mean time to detect and respond (MTTD/MTTR)"" in their organizations vs. 8% No; 95% CI for n=194: [88.2%, 95.8%]; the paper also identifies an ""efficiency-capability paradox"": despite the 92% MTTD/MTTR result, 70% believe current automation tools cannot keep pace with evolving AI-driven attacks; contrasts with a prior SLR [4] where only 38.89% of literature acknowledged automation relevance (Table 3, p. 11; Sec. 4.1.3, p. 12; Sec. 5.1, p. 23; Sec. 5.4-5.5, pp. 25-26)"
"General Impact on Agentic AI / Multi-Agent Systems","84% report already integrating agentic AI systems into IR processes (95% CI n=194: [78.8%, 89.2%]); but only 13% trust AI-driven decision-making without human intervention in high-stakes scenarios; 37% support autonomous triage/containment without analyst oversight; only 17% believe benefits outweigh false positive/negative risks; 20% say AI workflows make IR playbooks obsolete; 74% report retraining teams for AI tools; 79% advocate a new classification/taxonomy of automation tools by level of agentic AI; 96% support industry-wide revision of IR frameworks to include AI/agentic threat dimensions; 79% of organizations lack a separate AI threat modeling process (Table 3, p. 11; Table 4, pp. 16-17; Sec. 5.3, p. 25; Sec. 5.6, pp. 26-27)"
"Limitations / Future Work","Binary Yes/No format may reduce ""complex practitioner perspectives into oversimplified dichotomies""; possible sampling bias (AI-engaged respondents overrepresented) and purposive/convenience sampling via professional networks, so the 4.97% margin of error should be interpreted with caution; U.S.-only sample limits global generalizability; self-reported perception data carry response bias; construct validity bias and framing effects acknowledged; future work: Likert scales, semi-structured interviews, case studies, longitudinal research, and a framework modernization study with a validation roadmap (external discussions, pilot studies, iterative adjustments) (Sec. 5.1, p. 23; Sec. 6, p. 27; Sec. 6.2-6.4, pp. 28-29)"
"Relevance to My Thesis","This paper provides direct empirical practitioner evidence for the thesis premise: 92% of 194 U.S. cybersecurity professionals report that automation significantly reduced MTTD/MTTR, and 84% already integrate agentic AI into incident response, confirming the operational reality of the research topic. The pronounced trust gap (13% trust in fully autonomous decisions; 63% oppose unsupervised triage) strongly supports the thesis framing of Agentic AI as a copilot with human-in-the-loop oversight rather than a fully autonomous responder. Its survey instrument, psychometric validation (Cronbach's alpha), and sample size calculation offer a reusable methodological model if the thesis includes a practitioner survey. However, since MTTD/MTTR impact is perceptual (Yes/No) rather than measured in time units, the thesis should treat it as motivation and context, not as quantitative baseline evidence."
"Relevance Score","High - the study empirically quantifies agentic AI adoption and perceived MTTD/MTTR reduction in incident response with 194 practitioners, directly matching the thesis topic, though impact is perception-based rather than measured in time units."
"Paper ID","P37"
