"Field","Extraction"
"Title","Applications, Challenges, and Future Directions of Human-in-the-Loop Learning"
"Authors","Sushant Kumar; Sumit Datta; Vishakha Singh; Deepanwita Datta; Sanjay Kumar Singh; Ritesh Sharma"
"Year & Venue","2024; IEEE Access (Volume 12, pp. 75735-75759; DOI 10.1109/ACCESS.2024.3401547)"
"Core Problem Addressed","ML-based automation techniques ""are facing difficulties like decision-making"", and human-in-the-loop (HITL) systems that integrate human expertise with ML face ""a number of methodological, technical, and ethical difficulties"" in development and application, including data quality, bias, and user engagement. The paper is not framed around IT operations, SRE, observability, or incident response (Abstract & Sec. I, p. 75735)"
"Proposed Solution / Agentic AI Role","No agentic system is proposed; the paper reviews HITL methodologies that insert human feedback into the ML pipeline: Active Learning (query strategy selects uncertain samples for human/oracle labeling), Reinforcement Learning from human feedback (humans supply actions/preferences, e.g., regret preference modeling, RLHF for summarization), and Explainable AI (explanations enable human oversight); plus crowdsourcing and interactive ML across data processing, model training, and system deployment stages (Sec. II, pp. 75737-75739; Sec. I, p. 75736)"
"Methodology","Narrative literature review (""comprehensive review and analysis of the research on HITL"") with classification/comparison of HITL methods, qualitative evaluations, and case studies across domains (autonomous vehicles, visual data processing, healthcare, NLP/speech, financial services); no systematic review protocol, search strings, dataset, or sample size reported (Sec. I-A, p. 75737; Sec. III, pp. 75739-75747)"
"Impact on MTTD & MTTR Metrics","Not applicable — no MTTD, MTTR, alert fatigue, or incident resolution time metrics are reported; the closest operational results are from reviewed HITL studies in other domains, e.g., RUN dataset annotation ""64% faster compared to fully manual methods"" and DaME saving ""14,000 hours of manual mapping work over a period of ten months"" (Sec. III-D, p. 75746; Sec. III-E, p. 75746)"
"General Impact on Agentic AI / Multi-Agent Systems","No agentic/multi-agent orchestration results; reviewed human-AI collaboration outcomes include: HITL steering improved task performance ~7% with ~35% physical and ~50% mental workload reduction; displaying AI predicted labels gave "">20% relative improvement"" in human deception detection; HAILEY AI-in-the-loop agent raised conversational empathy 19.6% (38.9% for struggling supporters) in a 300-participant RCT; H-COAL closed the AI-vs-human label gap ""up to 86% improvement with 20% correction""; AI-first protocols yielded higher diagnostic accuracy than human-first, standalone humans, or AI (Sec. III-A, p. 75740; Sec. III-C, pp. 75743-75745)"
"Limitations / Future Work","Challenges acknowledged: human bias/subjectivity/inconsistency, scalability bottlenecks of human input, high cost of experts and training, complexity of managing conflicting expert feedback, data quality, interpretability, online learning, unclear human-machine collaboration models, validation without ground truth, and ethical/legal issues (privacy, bias); future work includes richer/finer-grained human feedback, shared human-feedback datasets, rigorous user studies, choosing the right time for intervention, improving LLM generation ability, and formal computational HITL frameworks (Sec. IV, pp. 75747-75751; Sec. V, pp. 75751-75753)"
"Relevance to My Thesis","This survey supplies the human-in-the-loop design vocabulary needed for an Agentic AI incident-response copilot, where the SRE remains the decision authority. Its treatment of active learning, RLHF, and XAI maps onto copilot concerns: when to escalate to the human, how to collect operator feedback to improve the agent, and how explanations sustain trust during incidents. The challenges it catalogs (feedback scalability bottlenecks, human bias, validation without ground truth, timing of intervention) anticipate failure modes of a copilot that keeps humans in the loop under time pressure. However, it offers no AIOps context and no incident metrics, so it can only inform the copilot's interaction design, not the MTTD/MTTR evaluation."
"Relevance Score","Low — tangential: it addresses HITL learning broadly with no AIOps, observability, incident-response, or MTTD/MTTR content, contributing only human-in-the-loop design principles for the copilot."
"Paper ID","P08"
