"Field","Extraction"
"Title","TAMO: Fine-Grained Root Cause Analysis via Tool-Assisted LLM Agent With Multi-Modality Observation Data in Cloud-Native Systems"
"Authors","Xiao Zhang; Qi Wang; Mingyi Li; Yuan Yuan; Mengbai Xiao; Fuzhen Zhuang; Dongxiao Yu"
"Year & Venue","2025; IEEE Transactions on Services Computing (TSC), Vol. 18, No. 6, November/December 2025, pp. 4221-4233; DOI 10.1109/TSC.2025.3629066"
"Core Problem Addressed","Fine-grained root cause analysis (RCA) in cloud-native microservice systems, where existing LLM-based approaches face three challenges: multi-modality input constraint (most support only log or code data, ignoring metrics/traces), context window limitation (LLMs cannot ingest massive real-time metric data), and dynamic dependence graphs (evolving service call chains hinder modeling of fault propagation paths) (Sec. I, p. 4221-4222)"
"Proposed Solution / Agentic AI Role","TAMO: a tool-assisted LLM agent framework with three domain-specific tools and one agent: T1 multi-modality alignment tool (dual-branch collaborative diffusion model with patch-based Transformer backbone, conditioned on Drain-extracted log patterns/TF-IDF keywords and trace KPIs) unifying logs, traces, and metrics into time-aligned representations; T2 root cause localization tool (FFT high-pass filtering + frequency-domain self-attention causal graph + GAT to simulate fault propagation); T3 fault types classification tool (Transformer encoder + GAT + MLP with weighted BCE loss); and an RCA Expert Agent A using GPT-4, which synthesizes T2/T3 outputs plus system context via structured prompts to produce a fault analysis report and repair suggestions for site reliability engineers (human-in-the-loop: outputs assist engineers rather than executing autonomous remediation) (Sec. III, p. 4223-4227, Figs. 2-3)"
"Methodology","Empirical/controlled experiments on two public benchmark datasets: Dataset A (AIOps Challenge, fault injection into HipsterShop microservice system; 10 services, 4 pods each = 40 pods on 6 nodes; metrics, logs, traces; 15 fault types) and Dataset B (SocialNetwork system, 21 microservices, Chaosblade fault injection, 3 fault types); baselines: Eadro, HolisticRCA, TimesNet, SegRNN, DejaVu, Transformer, LightGBM; metrics: Acc@1/3/5 for localization and micro/macro Precision, Recall, F1 for classification; implementation on NVIDIA RTX 3090, PyTorch 2.4.0, staged training (T1 pre-trained then frozen, then T2, T3, joint fine-tuning 5 epochs); plus ablation study, hyperparameter sensitivity, efficiency analysis, and a real-world case study on HipsterShop (Sec. IV, p. 4227-4230)"
"Impact on MTTD & MTTR Metrics","Not specified. The paper does not report MTTD, MTTR, alert fatigue, or resolution-time measurements; impact is qualitative only: RCA aims at ""minimizing human intervention"" and agent outputs help engineers take ""reasonable remediation actions, thus enhancing system reliability and response efficiency"" (Sec. I, p. 4221; Sec. III-D, p. 4226)"
"General Impact on Agentic AI / Multi-Agent Systems","TAMO outperforms SOTA with average Acc@1 improvement of 4.8% (root cause localization) and MiPr improvement of 10.8% (fault types classification); on dataset An it reaches MiPr 0.8718 and MiF1 0.8831, beating HolisticRCA by 24.99% and 19.85%; MiPr 0.7164 (As) and 0.7182 (Ap) exceed best baselines by 8.09% and 12.69%; efficiency: training 0.81 s/epoch (Dataset B) and 5.7 s (Dataset A), inference 0.17 s/sample (slightly slower than Eadro but meets real-time RCA needs); parameters: T1 9.32M, T2 1.38M, T3 258.32K; case study: 97.96% localization confidence for Currency Service and 82.39% for CheckoutPod0, and the tool-assisted agent produced accurate analysis while a raw-data LLM showed ""significant omissions and misjudgments"" due to context limitations; ablations show removing T1, the time branch, or FFT degrades performance (Sec. I, p. 4222; Sec. IV, p. 4228-4231, Tables II-IV, Figs. 5-7)"
"Limitations / Future Work","⚠ Ambiguous: the paper has no explicit limitations or future work section. Implicit limitations reported in results: performance is highly sensitive to hyperparameter beta (""minor changes causing sharp accuracy drops""); mu at boundary values (0 or 1) causes significant degradation; inference is slightly slower than Eadro; some baselines required dataset partitioning due to entity heterogeneity; datasets are fault-injection benchmarks rather than production incidents (Sec. IV-F, p. 4229-4230, Fig. 4)"
"Relevance to My Thesis","TAMO is a concrete instance of an agentic LLM copilot for incident response: a GPT-4 expert agent orchestrating specialized perception tools over multi-modal observability data (logs, metrics, traces) to localize root causes, classify fault types, and recommend remediations to SREs. It directly addresses the diagnosis phase that drives MTTD/MTTR, and its tool-decoupling design solves the context-window and modality problems any observability copilot faces. However, it evaluates accuracy metrics (Acc@K, F1) rather than MTTD/MTTR, so for the thesis it serves as architectural and methodological evidence (tool-assisted single-agent design, human-in-the-loop reporting, benchmark datasets HipsterShop/SocialNetwork) rather than direct metric evidence. Its comparison of tool-assisted vs. raw-data LLM output also supports the argument that agentic scaffolding is necessary for reliable incident copilots."
"Relevance Score","Medium — an LLM-agent AIOps/RCA framework highly adjacent to the thesis (incident diagnosis copilot with multi-modal observability), but it does not measure MTTD or MTTR directly."
"Paper ID","P23"
